"country","year","vatrate","NA","NA","NA","NA"
"Australia","10","10","10","10","10","10"
"Austria","20","20","20","20","20","20"
"Belgium","21","21","21","21","21","21"
"Chile","19","19","19","19","19","19"
"Czech Republic","21","21","21","21","21","21"
"Denmark","25","25","25","25","25","25"
"Estonia","20","20","20","20","20","20"
"Finland","24","24","24","24","24","24"
"France","20","20","20","20","20","20"
"Germany","19","19","19","19","19","19"
"Greece","23","23","23","24","24","24"
"Hungary","27","27","27","27","27","27"
"Iceland","25.5","24","24","24","24","24"
"Ireland","23","23","23","23","23","23"
"Israel","18","18","17","17","17","17"
"Italy","22","22","22","22","22","22"
"Japan","5","8","8","8","8","8"
"Korea","10","10","10","10","10","10"
"Latvia","21","21","21","21","21","21"
"Lithuania","21","21","21","21","21","21"
"Luxembourg","15","17","17","17","17","17"
"Mexico","16","16","16","16","16","16"
"Netherlands","21","21","21","21","21","21"
"New Zealand","15","15","15","15","15","15"
"Norway","25","25","25","25","25","25"
"Poland","23","23","23","23","23","23"
"Portugal","23","23","23","23","23","23"
"Slovak Republic","20","20","20","20","20","20"
"Slovenia","22","22","22","22","22","22"
"Spain","21","21","21","21","21","21"
"Sweden","25","25","25","25","25","25"
"Switzerland","8","8","8","8","7.7","7.7"
"Turkey","18","18","18","18","18","18"
"United Kingdom","20","20","20","20","20","20"
"United States","7.2","7.3","7.3","7.4","7.4","7.4"
"Canada","15.6","10.6","10.6","12.4","12.4","11.1"
